id,project_a,project_b,weight_a,weight_b
2,prettier-plugin-solidity,hardhat,0.1016685195,0.8983314805
3,prettier-plugin-solidity,teku,0.66944575473,0.33055424527
4,prettier-plugin-solidity,solidity,0.44902172113,0.55097827887
5,prettier-plugin-solidity,remix-project,0.49839639443,0.50160360557
6,prettier-plugin-solidity,go-ethereum,0.27250272366,0.72749727635
7,prettier-plugin-solidity,lodestar,0.29091816311,0.70908183689
9,prettier-plugin-solidity,openzeppelin-contracts,0.36277160654,0.63722839346
10,prettier-plugin-solidity,account-abstraction,0.34421922095,0.65578077905
11,prettier-plugin-solidity,go-ipa,0.7171862555,0.2828137445
12,prettier-plugin-solidity,go-libp2p,0.2370975136,0.7629024864
14,prettier-plugin-solidity,core,0.544486083,0.455513917
16,prysm,ethers.js,0.50142507311,0.49857492689
17,prysm,hardhat,0.68306836544,0.31693163456
20,prysm,solidity,0.9999562421,4.37579e-05
21,prysm,remix-project,0.9999562421,4.37579e-05
22,prysm,go-ethereum,0.7649580757,0.2350419243
24,prysm,revm,0.9991800254,0.0008199746
25,prysm,openzeppelin-contracts,0.92951415195,0.07048584805
28,lighthouse,hardhat,0.65388466552,0.34611533448
29,lighthouse,teku,0.94084263926,0.05915736074
35,lighthouse,revm,0.7781466545,0.2218533455
36,lighthouse,openzeppelin-contracts,0.66091121186,0.33908878814
37,lighthouse,solhint,0.93131616667,0.06868383333
38,lighthouse,js-ipfs,0.70437322525,0.29562677475
39,lighthouse,account-abstraction,0.57870404113,0.42129595887
40,lighthouse,safe-smart-account,0.5804717868,0.4195282132
41,lighthouse,go-ipa,0.8944563407,0.1055436593
42,lighthouse,go-libp2p,0.3832259257,0.6167740743
43,lighthouse,reth,0.56547080695,0.43452919305
47,lighthouse,erigon,0.5,0.5
48,lighthouse,grandine,0.5252782983,0.4747217017
50,walletconnect-monorepo,prysm,0.29435869392,0.70564130608
51,walletconnect-monorepo,ethers.js,0.33171687205,0.66828312795
54,walletconnect-monorepo,vyper,0.58751317499,0.41248682501
55,walletconnect-monorepo,teku,0.89823233521,0.10176766479
56,walletconnect-monorepo,prettier-plugin-solidity,0.69208471138,0.30791528862
58,walletconnect-monorepo,remix-project,0.9999589272,4.10728e-05
61,walletconnect-monorepo,revm,0.00943396226,0.99056603774
62,walletconnect-monorepo,go-minisign,0.00188679245,0.99811320755
63,walletconnect-monorepo,levelup,0.01098901099,0.98901098901
65,walletconnect-monorepo,prettier,0.00010790979,0.99989209021
66,walletconnect-monorepo,js-crc32,0.02631578947,0.97368421053
67,walletconnect-monorepo,webrtc,0.0027700831,0.9972299169
69,walletconnect-monorepo,postcss,0.00106269926,0.99893730074
72,walletconnect-monorepo,babel,1.38e-05,0.9999862
73,walletconnect-monorepo,vue,5.14e-05,0.9999486
75,walletconnect-monorepo,ajv,0.00041373604,0.99958626396
76,walletconnect-monorepo,cssnano,0.0015128593,0.9984871407
78,walletconnect-monorepo,mocha,0.00021463833,0.99978536167
79,walletconnect-monorepo,slim-sprig,0.00366300366,0.99633699634
80,walletconnect-monorepo,tokio,5.11e-05,0.9999489
82,walletconnect-monorepo,react,0.01315789474,0.98684210526
83,walletconnect-monorepo,node-fetch,0.00609756098,0.99390243902
84,walletconnect-monorepo,eslint-plugin-import,0.0027700831,0.9972299169
85,walletconnect-monorepo,readline,0.1,0.9
86,walletconnect-monorepo,cmd-shim,0.00038211693,0.99961788307
87,walletconnect-monorepo,electron,0.00111111111,0.99888888889
90,walletconnect-monorepo,browserslist,0.00100401606,0.99899598394
91,walletconnect-monorepo,debug,0.00196078431,0.99803921569
92,walletconnect-monorepo,immer,0.00305810398,0.99694189602
